Tabla,dbo,NIC,HND,SLV,GTM,CRI,PER
BITACORA_REGISTROS_INTANCIA,BITACORA_REGISTROS_INTANCIA,NULL,NULL,NULL,NULL,NULL,NULL
BitacoraEnviosBlazeHciSap,BitacoraEnviosBlazeHciSap,BitacoraEnviosBlazeHciSap,BitacoraEnviosBlazeHciSap,BitacoraEnviosBlazeHciSap,BitacoraEnviosBlazeHciSap,BitacoraEnviosBlazeHciSap,BitacoraEnviosBlazeHciSap
Catalogo_CodigoTienda_SapvGenesys,Catalogo_CodigoTienda_SapvGenesys,Catalogo_CodigoTienda_SapvGenesys,Catalogo_CodigoTienda_SapvGenesys,Catalogo_CodigoTienda_SapvGenesys,Catalogo_CodigoTienda_SapvGenesys,Catalogo_CodigoTienda_SapvGenesys,Catalogo_CodigoTienda_SapvGenesys
Clientes_Existentes_CamposClientes_Genesys,Clientes_Existentes_CamposClientes_Genesys,Clientes_Existentes_CamposClientes_Genesys,Clientes_Existentes_CamposClientes_Genesys,Clientes_Existentes_CamposClientes_Genesys,Clientes_Existentes_CamposClientes_Genesys,Clientes_Existentes_CamposClientes_Genesys,Clientes_Existentes_CamposClientes_Genesys
Clientes_Nuevos_CamposClientes_Genesys,Clientes_Nuevos_CamposClientes_Genesys,Clientes_Nuevos_CamposClientes_Genesys,Clientes_Nuevos_CamposClientes_Genesys,Clientes_Nuevos_CamposClientes_Genesys,Clientes_Nuevos_CamposClientes_Genesys,Clientes_Nuevos_CamposClientes_Genesys,Clientes_Nuevos_CamposClientes_Genesys
Clientes_Nuevos_CamposCompras_SAPV,Clientes_Nuevos_CamposCompras_SAPV,Clientes_Nuevos_CamposCompras_SAPV,Clientes_Nuevos_CamposCompras_SAPV,Clientes_Nuevos_CamposCompras_SAPV,Clientes_Nuevos_CamposCompras_SAPV,Clientes_Nuevos_CamposCompras_SAPV,Clientes_Nuevos_CamposCompras_SAPV
Configuracion,Configuracion,Configuracion,Configuracion,Configuracion,Configuracion,Configuracion,Configuracion
ControlEjecucionesJobOrquestador,ControlEjecucionesJobOrquestador,ControlEjecucionesJobOrquestador,ControlEjecucionesJobOrquestador,ControlEjecucionesJobOrquestador,ControlEjecucionesJobOrquestador,ControlEjecucionesJobOrquestador,ControlEjecucionesJobOrquestador
Cotizaciones_CamposCliente_ThirdParty,Cotizaciones_CamposCliente_ThirdParty,Cotizaciones_CamposCliente_ThirdParty,Cotizaciones_CamposCliente_ThirdParty,Cotizaciones_CamposCliente_ThirdParty,Cotizaciones_CamposCliente_ThirdParty,Cotizaciones_CamposCliente_ThirdParty,Cotizaciones_CamposCliente_ThirdParty
Cotizaciones_CamposCotizaciones_ThirdParty,Cotizaciones_CamposCotizaciones_ThirdParty,Cotizaciones_CamposCotizaciones_ThirdParty,Cotizaciones_CamposCotizaciones_ThirdParty,Cotizaciones_CamposCotizaciones_ThirdParty,Cotizaciones_CamposCotizaciones_ThirdParty,Cotizaciones_CamposCotizaciones_ThirdParty,Cotizaciones_CamposCotizaciones_ThirdParty
Cotizaciones_CamposFactura_SapV,Cotizaciones_CamposFactura_SapV,Cotizaciones_CamposFactura_SapV,Cotizaciones_CamposFactura_SapV,Cotizaciones_CamposFactura_SapV,Cotizaciones_CamposFactura_SapV,Cotizaciones_CamposFactura_SapV,Cotizaciones_CamposFactura_SapV
Cotizaciones_CamposFinanciera_Genesis,Cotizaciones_CamposFinanciera_Genesis,Cotizaciones_CamposFinanciera_Genesis,Cotizaciones_CamposFinanciera_Genesis,Cotizaciones_CamposFinanciera_Genesis,Cotizaciones_CamposFinanciera_Genesis,Cotizaciones_CamposFinanciera_Genesis,Cotizaciones_CamposFinanciera_Genesis
Cotizaciones_CamposVendedores_SAPV,Cotizaciones_CamposVendedores_SAPV,Cotizaciones_CamposVendedores_SAPV,Cotizaciones_CamposVendedores_SAPV,Cotizaciones_CamposVendedores_SAPV,Cotizaciones_CamposVendedores_SAPV,Cotizaciones_CamposVendedores_SAPV,Cotizaciones_CamposVendedores_SAPV
EsquemasExtraccionData,EsquemasExtraccionData,EsquemasExtraccionData,EsquemasExtraccionData,EsquemasExtraccionData,EsquemasExtraccionData,EsquemasExtraccionData,EsquemasExtraccionData
